Country,Total_cases,New_cases,Total_deaths,New_Deaths,Total_recovered,New_recovered,Active_cases,Serious_critical,Cases/1Mpop,Deaths/1Mpop,Total_tests,Tests/1Mpop,Population,Area
New Caledonia,"79,881",,314,,"79,558",,9,9,"274,585","1,079","98,964","340,182","290,915",Australia/Oceania
Eswatini,"74,267",,"1,425",,"72,795",,47,,"62,682","1,203","1,048,704","885,119","1,184,817",Africa
Belize,"70,757",,688,,"70,056",,13,6,"171,661","1,669","576,016","1,397,453","412,190",North America
Madagascar,"67,889",,"1,423",,"66,445",,21,,"2,327",49,"526,651","18,050","29,178,077",Africa
Mauritania,"63,668",,997,,"62,441",,230,,"12,988",203,"1,009,957","206,030","4,901,981",Africa
Bhutan,"62,620",,21,,"61,564",,"1,035",,"79,473",27,"2,303,734","2,923,739","787,941",Asia
Burundi,"53,631",,38,,"53,569",,24,,"4,248",3,"345,742","27,386","12,624,840",Africa
Gabon,"48,981",,306,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533",Africa
Papua New Guinea,"46,809",,670,,"43,982",,"2,157",7,"5,037",72,"249,149","26,813","9,292,169",Australia/Oceania
Aruba,"44,044",,236,,"42,438",,"1,370",2,"409,297","2,193","177,885","1,653,068","107,609",North America
Mayotte,"42,004",,188,,,,,,"146,734",657,"176,919","618,038","286,259",Africa
Togo,"39,394",,290,,"39,081",,23,,"4,538",33,"808,655","93,154","8,680,837",Africa
Isle of Man,"38,008",,116,,,,,,"443,335","1,353","150,753","1,758,422","85,732",Europe
Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699",Africa
Haiti,"34,202",,860,,"33,052",,290,,"2,928",74,"132,422","11,337","11,680,283",North America
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277",North America
Benin,"27,999",+9,163,,"27,830",+5,6,,"2,190",13,"604,310","47,268","12,784,726",Africa
Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805",Africa
Micronesia,"23,948",,61,,,,,1,"203,832",519,"54,967","467,848","117,489",Australia/Oceania
Timor-Leste,"23,418",,138,,"23,102",,178,,"17,101",101,"278,529","203,391","1,369,429",Asia
Liechtenstein,"21,430",+2,89,,"21,316",+6,25,4,"558,262","2,318","112,457","2,929,559","38,387",Europe
Grenada,"19,680",,238,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475",North America
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100",North America
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464",Asia
Tonga,"16,807",,13,,"15,638",,"1,156",,"155,983",121,"535,009","4,965,327","107,749",Australia/Oceania
Monaco,"16,115",,67,,"15,992",,56,4,"405,073","1,684","78,646","1,976,875","39,783",Europe
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097",Africa
CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678",Africa
Saint Martin,"12,257",,63,,"1,399",,"10,795",7,"308,507","1,586","112,382","2,828,643","39,730",North America
Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973",North America
Caribbean Netherlands,"11,676",,38,,"10,476",,"1,162",,"438,173","1,426","30,126","1,130,559","26,647",North America
Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244",Africa
St. Vincent Grenadines,"9,589",,123,,"9,466",,0,,"85,961","1,103","113,703","1,019,292","111,551",North America
Comoros,"9,001",,161,,"8,838",,2,,"9,919",177,,,"907,419",Africa
Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117",Africa
Chad,"7,679",+1,194,,"4,874",,"2,611",,441,11,"191,341","10,988","17,413,580",Africa
Cook Islands,"7,031",+1,2,,"7,027",,2,,"400,148",114,"19,690","1,120,596","17,571",Australia/Oceania
Turks and Caicos,"6,557",+6,38,,"6,499",+8,20,4,"164,993",956,"612,335","15,408,143","39,741",North America
Palau,"5,991",,9,,"5,976",,6,,"328,580",494,"69,136","3,791,806","18,233",Australia/Oceania
Nauru,"5,247",,1,,"5,075",,171,,"481,244",92,"20,509","1,881,042","10,903",Australia/Oceania
Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230",North America
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759",North America
Tuvalu,"2,805",,,,,,"2,805",,"232,471",,,,"12,066",Australia/Oceania
Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539",South America
Niue,791,,,,790,,1,,"487,670",,,,"1,622",Australia/Oceania
Diamond Princess,712,,13,,699,,0,,,,,,,
Western Sahara,10,,1,,9,,0,,16,2,,,"626,161",Africa
Tokelau,5,,,,,,5,,"3,628",,,,"1,378",Australia/Oceania
France,"39,639,112",,"165,073",,"39,405,402",,"68,637",869,"604,397","2,517","271,490,188","4,139,547","65,584,518",Europe
Brazil,"37,076,053",,"699,276",,"36,249,161",,"127,616",,"172,164","3,247","63,776,166","296,146","215,353,593",South America
S. Korea,"30,581,499","+12,284","34,049",15.0,"30,374,622","+11,427","172,828",158,"595,783",663,"15,804,065","307,892","51,329,899",Asia
UK,"24,370,154",,"206,952",,"24,109,922","+3,690","53,280",,"355,780","3,021","522,526,476","7,628,357","68,497,907",Europe
Turkey,"17,042,722",,"101,492",,,,,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,770,429",,"119,479",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,986",+20,"43,186",,"10,614,802",+12,"868,998",3,"116,489",436,"85,826,548","867,342","98,953,541",Asia
Taiwan,"10,123,151","+11,032","18,282",34.0,"9,843,853","+19,809","261,016",,"423,765",765,"30,742,304","1,286,903","23,888,595",Asia
Netherlands,"8,600,120","+1,154","22,992",,"8,561,110",+433,"16,018",53,"499,674","1,336","25,984,435","1,509,718","17,211,447",Europe
Mexico,"7,475,219","+4,566","333,136",36.0,"6,713,635","+6,864","428,448",,"56,819","2,532","19,572,325","148,768","131,562,772",North America
Poland,"6,437,594","+4,829","118,970",18.0,"5,335,940",,"982,684",696,"170,578","3,152","38,325,163","1,015,511","37,739,785",Europe
Austria,"5,949,752","+6,301","21,961",6.0,"5,874,364","+5,319","53,427",72,"656,220","2,422","211,273,524","23,302,116","9,066,710",Europe
Portugal,"5,570,473",,"26,266",,"5,538,745",+671,"5,462",61,"549,325","2,590","45,994,869","4,535,728","10,140,570",Europe
Chile,"5,184,582","+2,222","64,250",3.0,"5,113,905","+2,592","6,427",86,"269,326","3,338","48,535,671","2,521,308","19,250,195",South America
Israel,"4,801,511",,"12,307",,"4,781,252",,"7,952",57,"514,852","1,320","41,373,364","4,436,346","9,326,000",Asia
Thailand,"4,728,182",,"33,918",,"4,692,636",,"1,628",,"67,470",484,"17,270,775","246,450","70,078,203",Asia
Czechia,"4,615,962","+1,800","42,487",5.0,"4,564,929","+1,029","8,546",43,"429,920","3,957","57,026,205","5,311,293","10,736,784",Europe
Peru,"4,486,934",+102,"219,513",20.0,"4,265,317",+41,"2,104",31,"133,206","6,517","38,095,743","1,130,967","33,684,208",South America
Philippines,"4,077,169",+73,"66,167",7.0,"4,002,115",+106,"8,887",162,"36,239",588,"34,650,727","307,982","112,508,994",Asia
Romania,"3,346,046",,"67,736",,"3,263,269",,"15,041",119,"175,818","3,559","26,750,616","1,405,609","19,031,335",Europe
Hong Kong,"2,883,762",+47,"13,466",,"2,862,998",+355,"7,298",28,"379,228","1,771","76,127,725","10,011,143","7,604,299",Asia
Serbia,"2,498,315","+1,067","17,868",4.0,"2,465,686",+870,"14,761",12,"288,722","2,065","12,450,776","1,438,894","8,653,016",Europe
Singapore,"2,230,570",,"1,722",,"2,149,583",,"79,265",1,"375,293",290,"24,756,666","4,165,302","5,943,546",Asia
Hungary,"2,195,926",,"48,751",,"2,143,184",,"3,991",13,"228,593","5,075","11,394,556","1,186,160","9,606,259",Europe
Slovakia,"1,863,590",+171,"21,031",,"1,841,226",+104,"1,333",25,"341,305","3,852","7,406,819","1,356,512","5,460,193",Europe
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
Pakistan,"1,577,244",+30,"30,643",,"1,538,689",,"7,912",7,"6,873",134,"30,570,862","133,213","229,488,994",Asia
Finland,"1,463,630",+99,"8,967",,"1,452,331",+92,"2,332",21,"263,482","1,614","12,047,792","2,168,835","5,554,960",Europe
Slovenia,"1,330,662",+664,"7,076",2.0,"1,319,000",+542,"4,586",8,"640,347","3,405","2,839,966","1,366,660","2,078,034",Europe
Bulgaria,"1,297,358",+115,"38,222",3.0,"1,256,083",+55,"3,053",26,"189,545","5,584","11,069,682","1,617,288","6,844,597",Europe
Croatia,"1,269,326",,"17,987",,"1,250,890",,449,5,"312,697","4,431","5,521,987","1,360,335","4,059,286",Europe
Lebanon,"1,232,517",,"10,840",,"1,087,587",,"134,090",74,"184,375","1,622","4,795,578","717,380","6,684,849",Asia
Bolivia,"1,194,069",+99,"22,365",,"1,159,564",+256,"12,140",220,"99,567","1,865","2,705,422","225,590","11,992,656",South America
Cuba,"1,112,631",,"8,530",,"1,104,015",+4,86,,"98,414",754,"14,321,589","1,266,764","11,305,652",North America
UAE,"1,052,926",+142,"2,349",,"1,035,763",+76,"14,814",,"104,438",233,"199,362,311","19,774,505","10,081,785",Asia
Panama,"1,031,731",,"8,609",,"1,022,524",,598,16,"232,008","1,936","7,548,346","1,697,416","4,446,964",North America
Nepal,"1,001,149",,"12,020",,"989,124",,5,,"33,123",398,"6,014,561","198,989","30,225,582",Asia
Latvia,"976,188",+26,"6,250",5.0,"969,587",+24,351,13,"528,001","3,381","7,866,007","4,254,570","1,848,837",Europe
Azerbaijan,"828,783",+53,"10,135",6.0,"818,418",+32,230,,"80,463",984,"7,534,623","731,502","10,300,205",Asia
Bahrain,"709,858",+628,"1,553",1.0,"706,013",,"2,292",3,"397,906",871,"10,746,441","6,023,847","1,783,983",Asia
Kuwait,"663,456",,"2,570",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326",Asia
Cyprus,"650,685",,"1,330",,"644,185",,"5,170",60,"531,872","1,087","9,640,118","7,879,860","1,223,387",Asia
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia
Moldova,"607,450",,"11,988",,"504,142",,"91,320",49,"151,364","2,987","3,216,305","801,437","4,013,171",Europe
Egypt,"515,698",,"24,613",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692",Africa
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
Qatar,"494,868",+131,688,,"493,729",+89,451,35,"166,068",231,"4,065,369","1,364,257","2,979,915",Asia
Honduras,"472,250",+31,"11,111",,,,,105,"46,203","1,087","1,635,967","160,056","10,221,247",North America
Bosnia and Herzegovina,"401,636",,"16,279",,"379,084",,"6,273",,"123,606","5,010","1,884,721","580,036","3,249,317",Europe
North Macedonia,"346,852",,"9,662",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304",Europe
Kenya,"342,932",+13,"5,688",,"337,220",+4,24,1,"6,100",101,"3,967,062","70,569","56,215,221",Africa
Botswana,"329,758",+31,"2,801",,"326,916",+48,41,1,"135,082","1,147","2,026,898","830,300","2,441,162",Africa
Montenegro,"288,682",+52,"2,808",1.0,"285,214",+84,660,6,"459,721","4,472","2,721,739","4,334,324","627,950",Europe
Algeria,"271,490",+13,"6,881",,"182,808",+4,"81,801",,"5,987",152,"230,861","5,091","45,350,148",Africa
Zimbabwe,"264,127",,"5,668",,"257,839",,620,12,"17,228",370,"2,525,756","164,744","15,331,428",Africa
Mozambique,"233,214",+116,"2,242",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461",Africa
Laos,"218,020",,758,,,,,,"29,143",101,"1,233,207","164,845","7,481,023",Asia
Iceland,"209,137",+44,229,,,,,2,"605,504",663,"1,996,384","5,780,036","345,393",Europe
Guadeloupe,"201,852",,"1,010",,,,,19,"504,890","2,526","938,039","2,346,306","399,794",North America
Trinidad and Tobago,"189,918",+622,"4,355",8.0,"185,101",+548,462,8,"135,021","3,096","900,861","640,460","1,406,585",North America
Ghana,"171,229",+20,"1,462",,"169,726",+6,41,2,"5,286",45,"2,531,089","78,131","32,395,450",Africa
Uganda,"170,504",,"3,630",,"100,431",,"66,443",3,"3,520",75,"3,012,408","62,198","48,432,863",Africa
Cambodia,"138,719",,"3,056",,"135,660",+2,3,,"8,080",178,"3,091,420","180,062","17,168,639",Asia
Cameroon,"124,392",,"1,965",,"122,344",,83,13,"4,457",70,"1,751,774","62,762","27,911,548",Africa
Barbados,"106,645",,575,,"106,057",,13,,"370,266","1,996","794,426","2,758,203","288,023",North America
Channel Islands,"101,449",+67,227,,"101,091",+62,131,,"574,902","1,286","1,252,808","7,099,551","176,463",Europe
DRC,"95,749",,"1,464",,"84,321",,"9,964",,"1,005",15,"846,704","8,890","95,240,792",Africa
Malawi,"88,702",,"2,686",,"85,580",,436,67,"4,395",133,"624,784","30,959","20,180,839",Africa
Suriname,"82,467",,"1,404",,,,,,"138,175","2,352","241,357","404,398","596,831",South America
French Polynesia,"77,957",,649,,,,,7,"274,338","2,284",,,"284,164",Australia/Oceania
Guyana,"73,075",,"1,298",,"71,756",,21,,"92,029","1,635","722,237","909,567","794,045",South America
Fiji,"68,897",,883,,"66,860",,"1,154",,"75,755",971,"668,967","735,560","909,466",Australia/Oceania
Sudan,"63,809",,"5,013",,"58,468",,328,,"1,387",109,"562,941","12,240","45,992,020",Africa
Cabo Verde,"63,244",,413,,"62,773",,58,23,"111,408",728,"401,622","707,482","567,678",Africa
Syria,"57,467",,"3,164",,"54,303",,0,,"2,968",163,"146,269","7,553","19,364,809",Asia
Seychelles,"50,665",,172,,"50,440",,53,,"509,575","1,730",,,"99,426",Africa
Andorra,"47,875",,165,,"47,563",,147,14,"618,037","2,130","249,838","3,225,256","77,463",Europe
Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529",North America
Tanzania,"42,846",,846,,,,,7,677,13,,,"63,298,550",Africa
Mauritius,"41,752",,"1,043",,"40,030",,679,,"32,754",818,"358,675","281,374","1,274,727",Africa
Guinea,"38,267",,467,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691",Africa
Bahamas,"37,491",,833,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516",North America
Faeroe Islands,"34,658",,28,,,,,5,"703,959",569,"778,000","15,802,409","49,233",Europe
Mali,"33,059",+3,743,,"32,180",,136,,"1,540",35,"796,928","37,112","21,473,764",Africa
Saint Lucia,"30,004",,409,,"29,095",,500,,"162,085","2,209","210,983","1,139,752","185,113",North America
Somalia,"27,324",,"1,361",,"13,182",,"12,781",,"1,622",81,"400,466","23,778","16,841,795",Africa
Solomon Islands,"24,575",,153,,,,,1,"34,077",212,,,"721,159",Australia/Oceania
San Marino,"23,616",+33,122,,"23,471",+195,23,4,"692,856","3,579","157,634","4,624,732","34,085",Europe
Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265","22,102,838",Africa
Gibraltar,"20,433",,111,,"16,579",,"3,743",,"606,249","3,293","534,283","15,852,213","33,704",Europe
Bermuda,"18,814",,160,,"18,638",,16,,"303,750","2,583","1,027,859","16,594,698","61,939",North America
South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511",Africa
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662",Africa
Samoa,"16,607",,29,,"1,605",,"14,973",,"82,116",143,"187,397","926,612","202,239",Australia/Oceania
Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344",North America
Marshall Islands,"15,618",,17,,"15,528",,73,,"260,053",283,,,"60,057",Australia/Oceania
Gambia,"12,598",+12,372,,"12,189",,37,,"4,924",145,"155,686","60,851","2,558,482",Africa
Vanuatu,"12,014",,14,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832",Australia/Oceania
Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867",Asia
Sint Maarten,"11,020",,91,,"10,905",,24,,"250,648","2,070","62,056","1,411,454","43,966",North America
Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660",Africa
Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509",North America
Guinea-Bissau,"8,960",,176,,"8,660",,124,6,"4,342",85,"145,231","70,385","2,063,367",Africa
Sierra Leone,"7,760",,126,,,,,,934,15,"259,958","31,296","8,306,436",Africa
British Virgin Islands,"7,305",,64,,,,,,"238,757","2,092","107,339","3,508,269","30,596",North America
Saint Kitts and Nevis,"6,597",,47,,"6,548",,2,,"122,459",872,"126,932","2,356,221","53,871",North America
Sao Tome and Principe,"6,281",,77,,"6,204",,0,,"27,587",338,"29,036","127,530","227,679",Africa
St. Barth,"5,439",,6,,,,,,"546,908",603,"78,646","7,908,095","9,945",North America
Kiribati,"5,014",,18,,"2,703",,"2,293",3,"40,626",146,,,"123,419",Australia/Oceania
Macao,"3,514",,121,,"3,391",,2,,"5,264",181,"7,850","11,760","667,490",Asia
Wallis and Futuna,"3,427",,7,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982",Australia/Oceania
Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115",Africa
Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965",North America
Vatican City,29,,,,29,,0,,"36,295",,,,799,Europe
MS Zaandam,9,,2,,7,,0,,,,,,,
